date,state,county,fips,cases,deaths,population,daily_cases,daily_deaths
2020-05-12,Georgia,Cobb,13067,2253,124,745057,67,6
2020-05-12,Georgia,DeKalb,13089,2605,72,743187,50,1
2020-05-12,Georgia,Fulton,13121,3595,149,1021902,79,4
2020-05-12,Georgia,Gwinnett,13135,2495,101,902298,20,9
2020-05-12,Georgia,Hall,13139,2060,35,195961,21,6
2020-05-13,Georgia,Cobb,13067,2280,127,745057,27,3
2020-05-13,Georgia,DeKalb,13089,2632,73,743187,27,1
2020-05-13,Georgia,Fulton,13121,3614,152,1021902,19,3
2020-05-13,Georgia,Gwinnett,13135,2510,101,902298,15,0
2020-05-13,Georgia,Hall,13139,2112,37,195961,52,2
2020-05-14,Georgia,Cobb,13067,2363,129,745057,83,2
2020-05-14,Georgia,DeKalb,13089,2664,75,743187,32,2
2020-05-14,Georgia,Fulton,13121,3625,159,1021902,11,7
2020-05-14,Georgia,Gwinnett,13135,2552,101,902298,42,0
2020-05-14,Georgia,Hall,13139,2125,40,195961,13,3
2020-05-15,Georgia,Cobb,13067,2395,132,745057,32,3
2020-05-15,Georgia,DeKalb,13089,2751,80,743187,87,5
2020-05-15,Georgia,Fulton,13121,3703,164,1021902,78,5
2020-05-15,Georgia,Gwinnett,13135,2597,101,902298,45,0
2020-05-15,Georgia,Hall,13139,2140,40,195961,15,0
2020-05-16,Georgia,Cobb,13067,2407,132,745057,12,0
2020-05-16,Georgia,DeKalb,13089,2800,81,743187,49,1
2020-05-16,Georgia,Fulton,13121,3749,165,1021902,46,1
2020-05-16,Georgia,Gwinnett,13135,2597,102,902298,0,1
2020-05-16,Georgia,Hall,13139,2146,40,195961,6,0
2020-05-17,Georgia,Cobb,13067,2406,132,745057,-1,0
2020-05-17,Georgia,DeKalb,13089,2802,82,743187,2,1
2020-05-17,Georgia,Fulton,13121,3759,165,1021902,10,0
2020-05-17,Georgia,Gwinnett,13135,2594,102,902298,-3,0
2020-05-17,Georgia,Hall,13139,2150,40,195961,4,0
2020-05-18,Georgia,Cobb,13067,2429,133,745057,23,1
2020-05-18,Georgia,DeKalb,13089,2856,86,743187,54,4
2020-05-18,Georgia,Fulton,13121,3751,171,1021902,-8,6
2020-05-18,Georgia,Gwinnett,13135,2680,105,902298,86,3
2020-05-18,Georgia,Hall,13139,2164,42,195961,14,2
2020-05-19,Georgia,Cobb,13067,2503,135,745057,74,2
2020-05-19,Georgia,DeKalb,13089,2918,87,743187,62,1
2020-05-19,Georgia,Fulton,13121,3795,174,1021902,44,3
2020-05-19,Georgia,Gwinnett,13135,2771,114,902298,91,9
2020-05-19,Georgia,Hall,13139,2191,40,195961,27,-2
2020-05-20,Georgia,Cobb,13067,2584,135,745057,81,0
2020-05-20,Georgia,DeKalb,13089,2979,88,743187,61,1
2020-05-20,Georgia,Fulton,13121,3793,174,1021902,-2,0
2020-05-20,Georgia,Gwinnett,13135,2820,117,902298,49,3
2020-05-20,Georgia,Hall,13139,2230,40,195961,39,0
2020-05-21,Georgia,Cobb,13067,2625,138,745057,41,3
2020-05-21,Georgia,DeKalb,13089,3038,96,743187,59,8
2020-05-21,Georgia,Fulton,13121,3872,190,1021902,79,16
2020-05-21,Georgia,Gwinnett,13135,2882,121,902298,62,4
2020-05-21,Georgia,Hall,13139,2248,41,195961,18,1
2020-05-22,Georgia,Cobb,13067,2655,141,745057,30,3
2020-05-22,Georgia,DeKalb,13089,3080,100,743187,42,4
2020-05-22,Georgia,Fulton,13121,3931,196,1021902,59,6
2020-05-22,Georgia,Gwinnett,13135,2961,121,902298,79,0
2020-05-22,Georgia,Hall,13139,2269,41,195961,21,0
2020-05-23,Georgia,Cobb,13067,2661,141,745057,6,0
2020-05-23,Georgia,DeKalb,13089,3146,102,743187,66,2
2020-05-23,Georgia,Fulton,13121,3977,197,1021902,46,1
2020-05-23,Georgia,Gwinnett,13135,2997,121,902298,36,0
2020-05-23,Georgia,Hall,13139,2305,41,195961,36,0
2020-05-24,Georgia,Cobb,13067,2702,142,745057,41,1
2020-05-24,Georgia,DeKalb,13089,3257,102,743187,111,0
2020-05-24,Georgia,Fulton,13121,4054,196,1021902,77,-1
2020-05-24,Georgia,Gwinnett,13135,3056,122,902298,59,1
2020-05-24,Georgia,Hall,13139,2322,41,195961,17,0
2020-05-25,Georgia,Cobb,13067,2795,146,745057,93,4
2020-05-25,Georgia,DeKalb,13089,3305,104,743187,48,2
2020-05-25,Georgia,Fulton,13121,4080,199,1021902,26,3
2020-05-25,Georgia,Gwinnett,13135,3198,121,902298,142,-1
2020-05-25,Georgia,Hall,13139,2327,41,195961,5,0
2020-05-26,Georgia,Cobb,13067,2854,150,745057,59,4
2020-05-26,Georgia,DeKalb,13089,3421,107,743187,116,3
